ID,RiskScore
0,33.83482373855459
1,54.48315497278088
2,29.626562648356874
3,35.29409421989966
4,32.48018574428431
5,69.88473085929382
6,30.25496389424349
7,31.60735515910014
8,40.215029715119634
9,65.22656177824084
10,32.44824272085372
11,29.182486181064743
12,64.8728366744205
13,34.479254128315844
14,33.09472360440505
15,60.395029472927355
16,19.75442935844672
17,34.332160808040356
18,65.17971150644712
19,66.6528855829699
20,73.8665964679628
21,32.13880257259676
22,70.10124719214144
23,43.432750868623586
24,47.0710961236845
25,25.071872130120912
26,30.071120996322886
27,27.579837476373804
28,53.19846775480923
29,59.698447448305224
30,28.7258330352439
31,66.67600633461616
32,31.206620801523
33,30.409845982326914
34,41.1837125902202
35,38.18903712214906
36,67.729446863551
37,55.841111854606226
38,52.33152123544082
39,72.9191117056636
40,71.86788084119445
41,44.53922503233238
42,80.96472275927222
43,21.008863391824942
44,53.96665359031702
45,30.78796194214328
46,33.28549367031242
47,68.64001062642534
48,28.418654020201675
49,39.21673359732703
50,66.94615817427236
51,57.17879031962504
52,44.30284904438018
53,24.837728087796034
54,31.621456339895715
55,37.55868803741465
56,70.64788776407848
57,35.22567753573662
58,39.02054312343224
59,62.754887418059305
60,63.85098064468753
61,47.9469220744057
62,32.10597021893625
63,87.76144778000727
64,26.98726093549655
65,33.54730019358315
66,58.839340432204736
67,63.53187234550512
68,37.470873127261605
69,68.08439049089954
70,32.46217697462312
71,42.09520653723836
72,50.44209512259416
73,51.19766186120385
74,47.76363149448749
75,67.71328519484665
76,68.34686147642324
77,23.121298056051863
78,49.88520740350516
79,60.78108217098357
80,70.9365171576619
81,51.27334402416074
82,59.73584274633426
83,33.947019462434795
84,70.639776714433
85,74.43199728907786
86,61.97636645009964
87,23.966812392476964
88,37.15944693681106
89,69.66091902278929
90,35.237857449911296
91,45.03170262055829
92,38.82006144948146
93,30.862753515988246
94,40.9307109774406
95,38.68511890129514
96,34.85868297264628
97,70.24661174830732
98,39.313965894782505
99,65.00687961248623
100,32.01174718291995
101,34.053083869871124
102,69.90881870221297
103,76.78928090100521
104,32.18447310811381
105,82.49316601996787
106,75.5788792297372
107,70.2470061223082
108,38.21786520427292
109,71.11455701413111
110,52.98904852168737
111,69.25882603800352
112,76.82594069662224
113,61.03725054403512
114,69.20227800977607
115,30.431884538513675
116,70.83068618105179
117,52.707167753649124
118,40.38748054859383
119,45.167740067941885
120,22.085680288167286
121,74.25910752332649
122,33.533096923916204
123,50.64582011931546
124,33.02315986727288
125,57.99988339989568
126,19.527751371266334
127,27.598478671782516
128,34.403069796193414
129,64.81974058760193
130,30.195874481146724
131,71.33721579779676
132,72.00714139249581
133,78.01753349184791
134,22.355367287139227
135,36.56475932960733
136,20.570958683638327
137,43.28374076594473
138,29.742448767860107
139,51.393471309832755
140,40.79254303269665
141,40.01117664309456
142,27.303318017023862
143,26.736876386947156
144,64.67072115504392
145,31.436415172962484
146,46.79341513291229
147,61.909346318024824
148,67.09729128471902
149,68.90888610153482
150,43.75518709398516
151,32.18355447119062
152,76.77942983897803
153,48.56262776707311
154,63.92360075090773
155,30.063078875264296
156,69.67296181546355
157,64.06246773047909
158,69.80375770319365
159,72.22901512831926
160,34.91494764768355
161,36.261997388629254
162,70.75817853710127
163,37.83654176378359
164,39.270998786301305
165,51.07033822740988
166,38.269512994841
167,34.92049594367727
168,36.835644279438455
169,29.16481579891775
170,38.26182451506026
171,49.96199501116447
172,68.17456190484968
173,47.30403606749116
174,31.50774770714215
175,60.12331006865192
176,49.532050140805865
177,42.31706918826131
178,30.06706968095104
179,72.19126379710265
180,46.81456474502212
181,30.42820247119978
182,59.86093186401778
183,68.99314037127661
184,74.52603034687596
